,area_name_0,area_name_1,area_name_2,area_name_3,area_name_4,area_name_5,crm_cd,crm_cd_desc,vict_age,vict_sex_0,vict_sex_1,vict_sex_2,vict_descent_0,vict_descent_1,vict_descent_2,vict_descent_3,vict_descent_4,premis_cd,premis_desc_0,premis_desc_1,premis_desc_2,premis_desc_3,premis_desc_4,premis_desc_5,premis_desc_6,premis_desc_7,premis_desc_8,weapon_used_cd,weapon_desc_0,weapon_desc_1,weapon_desc_2,weapon_desc_3,weapon_desc_4,weapon_desc_5,weapon_desc_6,status_desc_0,status_desc_1,status_desc_2,status_desc_3,location_0,location_1,location_2,location_3,location_4,location_5,location_6,location_7,location_8,location_9,location_10,location_11,location_12,location_13,location_14,lat,lon,day_crime_occ,no_rptd_occ,Hour,Minutes,month_crime_occ,year_crime_occ
19,0,0,1,0,1,1,648,ARSON,55,0,0,1,0,0,0,1,0,501.0,0,0,0,0,0,0,0,0,1,500.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,34.114000000000004,-118.2371,3,1,5,11,12,2015
20,0,0,1,1,0,0,648,ARSON,52,0,0,1,0,0,0,1,0,502.0,0,0,0,0,0,0,0,1,0,500.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,34.055,-118.2842,5,0,12,35,12,2010
21,0,0,1,1,0,1,648,ARSON,52,0,0,1,0,0,0,1,0,116.0,0,0,0,0,0,1,1,0,1,500.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,34.0002,-118.4404,3,0,19,58,4,2010
22,0,0,1,1,1,0,648,ARSON,37,0,0,1,0,0,0,1,0,122.0,0,0,0,0,0,1,1,0,0,500.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,34.0515,-118.2704,5,6,19,0,10,2019
23,0,0,1,1,1,1,648,ARSON,58,0,0,1,0,0,0,1,0,101.0,0,0,0,0,0,1,0,1,0,500.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,33.9593,-118.2586,1,0,22,20,4,2019
24,0,0,1,1,1,1,648,ARSON,0,0,1,1,0,0,1,0,1,708.0,0,0,0,0,0,1,1,1,0,500.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,33.945,-118.2462,3,1,16,0,2,2018
25,0,0,1,1,1,1,648,ARSON,0,0,0,1,0,0,1,0,1,203.0,0,0,0,0,0,1,1,1,1,500.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,33.9351,-118.2542,5,0,23,6,2,2011
26,0,1,0,0,0,0,648,ARSON,17,0,1,1,0,0,1,0,1,719.0,0,0,0,0,1,0,0,0,0,500.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,34.006,-118.3315,0,0,2,48,1,2018
27,0,1,0,0,0,0,648,ARSON,0,0,0,1,0,0,0,0,1,721.0,0,0,0,0,1,0,0,0,1,506.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,34.02,-118.3062,4,0,15,35,3,2013
28,0,1,0,0,0,1,648,ARSON,32,0,0,1,0,0,0,0,1,218.0,0,0,0,0,1,0,0,1,0,500.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,34.1669,-118.6207,3,1,22,51,12,2015
29,0,1,0,0,1,0,648,ARSON,0,0,0,1,0,0,1,0,0,502.0,0,0,0,0,0,0,0,1,0,500.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,34.1685,-118.4487,5,0,6,51,5,2019
30,0,1,0,0,1,1,648,ARSON,45,0,0,1,0,0,1,0,0,501.0,0,0,0,0,0,0,0,0,1,500.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,34.0328,-118.4288,5,11,3,38,8,2018
31,0,1,0,1,0,0,648,ARSON,47,0,0,1,0,0,0,1,1,101.0,0,0,0,0,0,1,0,1,0,500.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34.1487,-118.5205,0,0,0,19,10,2010
32,0,1,0,1,0,1,648,ARSON,0,0,1,1,0,0,1,0,1,721.0,0,0,0,0,1,0,0,0,1,506.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,34.0838,-118.3595,3,1,17,30,11,2019
33,0,0,0,0,0,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,16,0,0,1,0,0,0,1,0,108.0,0,0,0,0,0,0,1,1,0,307.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,33.9746,-118.2918,2,1,1,25,3,2017
34,0,0,0,0,1,0,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,31,0,0,1,0,0,1,0,0,108.0,0,0,0,0,0,0,1,1,0,307.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,34.0591,-118.2412,2,1,19,0,3,2011
35,0,0,0,1,0,0,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0,0,0,1,0,0,0,1,0,101.0,0,0,0,0,0,1,0,1,0,307.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,34.2634,-118.3074,1,0,23,55,7,2017
36,0,0,0,1,0,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,31,0,0,1,0,0,0,1,1,103.0,0,0,0,0,0,1,0,1,1,212.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,33.7152,-118.2907,1,0,21,40,5,2018
37,0,0,0,1,1,0,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0,0,0,1,0,0,0,1,0,108.0,0,0,0,0,0,0,1,1,0,302.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,34.043,-118.2214,5,0,1,0,3,2017
38,0,0,0,1,1,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0,0,0,1,0,0,1,0,0,102.0,0,0,0,0,1,0,0,1,1,500.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,34.0981,-118.3032,0,0,10,40,10,2018
39,0,0,1,0,0,0,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0,0,0,1,0,0,1,0,1,101.0,0,0,0,0,0,1,0,1,0,307.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,34.245,-118.4588,4,0,15,35,5,2016
40,0,0,1,0,0,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0,0,0,1,0,0,0,1,1,210.0,0,0,0,0,0,0,1,0,1,500.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,34.1431,-118.4008,6,0,18,45,3,2017
41,0,0,1,0,1,0,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0,0,0,1,0,0,0,1,0,101.0,0,0,0,0,0,1,0,1,0,307.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,34.0267,-118.2359,6,0,11,0,4,2010
42,0,0,1,1,1,0,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0,0,0,1,0,0,0,1,0,101.0,0,0,0,0,0,1,0,1,0,306.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,34.0585,-118.2725,2,0,9,40,9,2010
43,0,0,1,1,1,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,42,0,0,1,0,0,0,1,0,501.0,0,0,0,0,0,0,0,0,1,400.0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,33.9321,-118.2522,2,0,9,0,3,2010
44,0,1,0,0,0,0,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0,0,0,1,0,0,0,1,1,101.0,0,0,0,0,0,1,0,1,0,109.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,34.0326,-118.3438,3,0,19,30,6,2010
45,0,1,0,1,0,0,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0,0,0,1,0,0,0,1,1,103.0,0,0,0,0,0,1,0,1,1,109.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,34.1867,-118.4825,5,2,5,9,7,2018
46,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,0,0,1,0,0,0,1,0,101.0,0,0,0,0,0,1,0,1,0,109.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,33.9974,-118.2813,6,23,23,30,7,2018
47,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",54,0,1,0,0,0,0,0,1,301.0,0,0,0,0,1,0,1,0,0,312.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,33.9746,-118.3003,6,0,3,55,12,2019
48,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",51,0,0,1,0,0,0,1,0,501.0,0,0,0,0,0,0,0,0,1,114.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,33.9872,-118.3282,3,0,21,0,5,2016
49,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,0,0,1,0,0,0,1,0,101.0,0,0,0,0,0,1,0,1,0,500.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,33.999,-118.3113,3,0,22,45,8,2018
50,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",54,0,0,1,0,0,0,0,1,502.0,0,0,0,0,0,0,0,1,0,305.0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,33.9905,-118.2871,1,0,14,20,7,2013
51,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",16,0,0,1,0,0,0,0,1,101.0,0,0,0,0,0,1,0,1,0,102.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,33.9705,-118.2739,3,0,18,40,5,2010
52,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",36,0,0,1,0,0,0,0,1,101.0,0,0,0,0,0,1,0,1,0,102.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,33.9455,-118.309,4,1,19,30,2,2012
53,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20,0,0,1,0,0,0,0,1,101.0,0,0,0,0,0,1,0,1,0,106.0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,33.9933,-118.3113,4,1,20,55,5,2014
